Id;PublicationDate;Title;Name;NormalizedName;WebUrl
1;1992-07-01;Obituary: The Marquess of Bath;The Marquess of Bath;The Marquess of Bath;https://www.independent.co.uk/news/people/obituary-the-marquess-of-bath-1530471.html
2;1992-07-02;Obituary: Howard Roberts;Howard Roberts;Howard Roberts;https://www.independent.co.uk/news/people/obituary-howard-roberts-1530653.html
3;1992-07-03;Obituary: Mikhail Tal;Mikhail Tal;Mikhail Tal;https://www.independent.co.uk/news/people/obituary-mikhail-tal-1530878.html
4;1992-07-03;Obituary: Daniel Moyano;Daniel Moyano;Daniel Moyano;https://www.independent.co.uk/news/people/obituary-daniel-moyano-1530880.html
5;1992-07-03;Obituary: Elizabeth Shaw;Elizabeth Shaw;Elizabeth Shaw;https://www.independent.co.uk/news/people/obituary-elizabeth-shaw-1530877.html
6;1992-07-03;Obituary: Professor Elie Kedourie;Professor Elie Kedourie;Elie Kedourie;https://www.independent.co.uk/news/people/obituary-professor-elie-kedourie-1530876.html
7;1992-07-04;Obituary: Mickey Hays;Mickey Hays;Mickey Hays;https://www.independent.co.uk/news/people/obituary-mickey-hays-1531168.html
8;1992-07-04;Obituary: Juris Podnieks;Juris Podnieks;Juris Podnieks;https://www.independent.co.uk/news/people/obituary-juris-podnieks-1531163.html
9;1992-07-04;Obituary: The Earl of Iveagh;The Earl of Iveagh;The Earl of Iveagh;https://www.independent.co.uk/news/people/obituary-the-earl-of-iveagh-1531165.html
10;1992-07-07;Obituary: Georgia Brown;Georgia Brown;Georgia Brown;https://www.independent.co.uk/news/people/obituary-georgia-brown-1531653.html
11;1992-07-07;Obituary: Camaron de la Isla;Camaron de la Isla;Camaron de la Isla;https://www.independent.co.uk/news/people/obituary-camaron-de-la-isla-1531654.html
12;1992-07-07;Obituary: Sir Richard Francis;Sir Richard Francis;Richard Francis;https://www.independent.co.uk/news/people/obituary-sir-richard-francis-1531656.html
13;1992-07-09;Obituary: John Spencer Churchill;John Spencer Churchill;John Spencer Churchill;https://www.independent.co.uk/news/people/obituary-john-spencer-churchill-1532076.html
14;1992-07-10;Obituary: Joe Newman;Joe Newman;Joe Newman;https://www.independent.co.uk/news/people/obituary-joe-newman-1532241.html
